id,category
pic000000,red
pic000001,green
pic000002,red
pic000003,red
pic000004,red
pic000005,green
pic000006,green
pic000007,red
pic000008,red
pic000009,green
pic000010,red
pic000011,red
pic000012,green
pic000013,red
pic000014,yellow
pic000015,disabled
pic000016,disabled
pic000017,red
pic000018,green
pic000019,red
pic000020,red
pic000021,red
pic000022,green
pic000023,yellow
pic000024,disabled
pic000025,green
pic000026,green
pic000027,yellow
pic000028,green
pic000029,red
pic000030,yellow
pic000031,disabled
pic000032,red
pic000033,red
pic000034,green
pic000035,green
pic000036,green
pic000037,red_yellow
pic000038,red
pic000039,green
pic000040,red
pic000041,green
pic000042,red
pic000043,red
pic000044,green
pic000045,red
pic000046,green
pic000047,red
pic000048,green
pic000049,red
pic000050,red
pic000051,green
pic000052,disabled
pic000053,red
pic000054,red
pic000055,yellow
pic000056,green
pic000057,red
pic000058,red
pic000059,red_yellow
pic000060,red
pic000061,red
pic000062,green
pic000063,red
pic000064,green
pic000065,disabled
pic000066,yellow
pic000067,green
pic000068,green
pic000069,red
pic000070,green
pic000071,green
pic000072,disabled
pic000073,green
pic000074,green
pic000075,red
pic000076,green
pic000077,yellow
pic000078,disabled
pic000079,red
pic000080,red
pic000081,red
pic000082,disabled
pic000083,green
pic000084,disabled
pic000085,green
pic000086,red
pic000087,red
pic000088,green
pic000089,green
pic000090,green
pic000091,green
pic000092,red
pic000093,red
pic000094,red
pic000095,green
pic000096,red
pic000097,yellow
pic000098,green
pic000099,green
pic000100,red
pic000101,red
pic000102,red
pic000103,green
pic000104,green
pic000105,green
pic000106,green
pic000107,disabled
pic000108,red
pic000109,red
pic000110,red
pic000111,red
pic000112,green
pic000113,green
pic000114,green
pic000115,red
pic000116,red
pic000117,red_yellow
pic000118,red
pic000119,green
pic000120,red
pic000121,red
pic000122,red
pic000123,green
pic000124,green
pic000125,disabled
pic000126,red
pic000127,disabled
pic000128,red
pic000129,red
pic000130,red
pic000131,red
pic000132,disabled
pic000133,green
pic000134,red
pic000135,green
pic000136,green
pic000137,yellow
pic000138,red
pic000139,red_yellow
pic000140,red
pic000141,yellow
pic000142,green
pic000143,red
pic000144,red
pic000145,red
pic000146,red
pic000147,disabled
pic000148,green
pic000149,green
pic000150,green
pic000151,disabled
pic000152,red
pic000153,red
pic000154,red
pic000155,red
pic000156,green
pic000157,red
pic000158,red
pic000159,red
pic000160,red
pic000161,green
pic000162,red
pic000163,green
pic000164,green
pic000165,yellow
pic000166,red
pic000167,red
pic000168,green
pic000169,red
pic000170,disabled
pic000171,red
pic000172,red
pic000173,red_yellow
pic000174,disabled
pic000175,red
pic000176,red
pic000177,green
pic000178,green
pic000179,disabled
pic000180,green
pic000181,green
pic000182,red
pic000183,red
pic000184,green
pic000185,green
pic000186,disabled
pic000187,green
pic000188,red
pic000189,red
pic000190,red
pic000191,red
pic000192,green
pic000193,red
pic000194,yellow
pic000195,red
pic000196,red
pic000197,red
pic000198,green
pic000199,red
pic000200,yellow
pic000201,green
pic000202,green
pic000203,red
pic000204,red
pic000205,green
pic000206,red
pic000207,green
pic000208,green
pic000209,green
pic000210,green
pic000211,disabled
pic000212,red_yellow
pic000213,red
pic000214,green
pic000215,green
pic000216,green
pic000217,red_yellow
pic000218,green
pic000219,disabled
pic000220,green
pic000221,red
pic000222,red
pic000223,green
pic000224,green
pic000225,green
pic000226,green
pic000227,disabled
pic000228,red
pic000229,red
pic000230,red
pic000231,green
pic000232,red
pic000233,green
pic000234,red
pic000235,red
pic000236,red
pic000237,green
pic000238,green
pic000239,red
pic000240,green
pic000241,green
pic000242,green
pic000243,green
pic000244,yellow
pic000245,green
pic000246,red
pic000247,red
pic000248,disabled
pic000249,red
pic000250,red_yellow
pic000251,red
pic000252,disabled
pic000253,green
pic000254,red
pic000255,red
pic000256,green
pic000257,green
pic000258,red
pic000259,red
pic000260,green
pic000261,red
pic000262,green
pic000263,red
pic000264,red_yellow
pic000265,red
pic000266,disabled
pic000267,disabled
pic000268,green
pic000269,red
pic000270,green
pic000271,disabled
pic000272,yellow
pic000273,red
pic000274,red
pic000275,yellow
pic000276,red
pic000277,red
pic000278,red
pic000279,green
pic000280,red
pic000281,red
pic000282,yellow
pic000283,green
pic000284,green
pic000285,red
pic000286,red
pic000287,green
pic000288,red
pic000289,red
pic000290,green
pic000291,green
pic000292,red
pic000293,disabled
pic000294,red
pic000295,red
pic000296,green
pic000297,yellow
pic000298,disabled
pic000299,green
pic000300,red
pic000301,disabled
pic000302,yellow
pic000303,green
pic000304,red
pic000305,yellow
pic000306,green
pic000307,green
pic000308,red
pic000309,green
pic000310,red_yellow
pic000311,red
pic000312,green
pic000313,red
pic000314,green
pic000315,red
pic000316,green
pic000317,red
pic000318,red
pic000319,red
pic000320,red
pic000321,red
pic000322,yellow
pic000323,red
pic000324,green
pic000325,yellow
pic000326,red
pic000327,red
pic000328,red
pic000329,red
pic000330,green
pic000331,red
pic000332,red
pic000333,red
pic000334,red
pic000335,green
pic000336,red
pic000337,green
pic000338,red
pic000339,red_yellow
pic000340,green
pic000341,red
pic000342,disabled
pic000343,green
pic000344,disabled
pic000345,red
pic000346,red
pic000347,red
pic000348,red
pic000349,green
pic000350,green
pic000351,disabled
pic000352,green
pic000353,green
pic000354,disabled
pic000355,red
pic000356,green
pic000357,red
pic000358,red
pic000359,green
pic000360,red
pic000361,green
pic000362,yellow
pic000363,red
pic000364,red
pic000365,red
pic000366,red
pic000367,disabled
pic000368,disabled
pic000369,red
pic000370,green
pic000371,green
pic000372,red
pic000373,red
pic000374,green
pic000375,red
pic000376,yellow
pic000377,green
pic000378,red
pic000379,red
pic000380,red
pic000381,red
pic000382,red
pic000383,green
pic000384,red
pic000385,green
pic000386,red
pic000387,green
pic000388,red
pic000389,red
pic000390,disabled
pic000391,green
pic000392,red
pic000393,green
pic000394,green
pic000395,red
pic000396,green
pic000397,red
pic000398,red
pic000399,green
pic000400,yellow
pic000401,red
pic000402,green
pic000403,green
pic000404,green
pic000405,green
pic000406,green
pic000407,red_yellow
pic000408,red
pic000409,yellow
pic000410,green
pic000411,red
pic000412,green
pic000413,red
pic000414,green
pic000415,disabled
pic000416,red
pic000417,green
pic000418,red
pic000419,disabled
pic000420,green
pic000421,green
pic000422,green
pic000423,disabled
pic000424,red
pic000425,red_yellow
pic000426,green
pic000427,red
pic000428,green
pic000429,green
pic000430,red
pic000431,disabled
pic000432,red
pic000433,red
pic000434,red
pic000435,disabled
pic000436,green
pic000437,disabled
pic000438,green
pic000439,disabled
pic000440,red
pic000441,disabled
pic000442,red
pic000443,disabled
pic000444,red
pic000445,yellow
pic000446,red_yellow
pic000447,green
pic000448,green
pic000449,green
pic000450,yellow
pic000451,red
pic000452,disabled
pic000453,green
pic000454,red
pic000455,red
pic000456,green
pic000457,green
pic000458,red
pic000459,red
pic000460,red
pic000461,disabled
pic000462,red
pic000463,yellow
pic000464,red
pic000465,red
pic000466,red
pic000467,green
pic000468,green
pic000469,red
pic000470,green
pic000471,red
pic000472,red
pic000473,green
pic000474,red
pic000475,green
pic000476,red
pic000477,red
pic000478,red
pic000479,disabled
pic000480,red
pic000481,green
pic000482,green
pic000483,red
pic000484,green
pic000485,green
pic000486,green
pic000487,green
pic000488,disabled
pic000489,red
pic000490,red
pic000491,green
pic000492,green
pic000493,green
pic000494,red_yellow
pic000495,green
pic000496,red
pic000497,red
pic000498,red
pic000499,red
pic000500,red
pic000501,green
pic000502,yellow
pic000503,green
pic000504,green
pic000505,yellow
pic000506,red
pic000507,red
pic000508,disabled
pic000509,red
pic000510,green
pic000511,red
pic000512,green
pic000513,yellow
pic000514,red
pic000515,green
pic000516,green
pic000517,red
pic000518,green
pic000519,disabled
pic000520,red
pic000521,red
pic000522,red
pic000523,disabled
pic000524,disabled
pic000525,green
pic000526,red
pic000527,red
pic000528,green
pic000529,green
pic000530,red
pic000531,red
pic000532,green
pic000533,disabled
pic000534,green
pic000535,green
pic000536,red_yellow
pic000537,disabled
pic000538,green
pic000539,red
pic000540,disabled
pic000541,green
